client_id,name,new_client_id,subcontractor id,x
130339,"Sheikh Khalid Bin Saqr Al Qasimi, Crown Prince and Deputy Ruler, Ras Al Khaimah, United Arab Emirate",,,x
129842,"Sheikh Mohammed Bin Rashid Al Maktoum, Prime Minister and Vice President of the United Arab Emirates",,,x
130086,Shining Prospect Pte. Ltd.,,,x
130303,"Shipowners Insurance and Guaranty Company Ltd. (""SIGCo"")",,,x
129757,Singapore Economic Development Board,,,x
129920,Sinn Fein,,,x
129828,Small Business Corporation (SBC),,,x
130358,SNCF DDI (formerly SNCF International),,,x
130357,SNCF Voyages,,,x
130089,Social Communication Secretariat of the Office of the President of the Republic of Brazil,,,x
130016,Social Democratic And Labour Party Of Northern Ireland,,,x
130143,Socialist Movement for Integration (LSI),,,x
130327,Socialist Party of Albania,,,x
130367,Somali Republic,,,x
130073,South African Tourism,,,x
129820,Special Court for Sierra Leone,,,x
129962,Spring Rain Foundation,,,x
129803,St Lucia National Development Corp.,,,x
129794,St. Lucia Tourist Board,,,x
130106,St. Maarten Tourist Bureau,,,x
129858,State Government Office of Tourism New South Wales,,,x
130228,State Government Office of Tourism New South Wales Australian Tourism Office,,,x
129748,State of Israel,,,x
129844,State of Tamaulipas,,,x
130262,State of the Netherlands/Royal Netherlands Embassy,,,x
129811,States of Guernsey,,,x
129797,States of Jersey,,,x
130198,States of Jersey,,,x
129988,"Stolt-Nielsen, SA",,,x
130055,Sudan Liberation Movement (Abdul Wahid),,,x
130002,Sunshine Coalition of Uzbekistan,,,x
130030,"Supporters of Fine Gael, Inc",,,x
